╭─────────────────────────────────────────┬─────────────────────────────────────────┬─────────────────────────────────────────┬─────────────────────────────────────────╮
│                          balance_fdw_lp │                              references │                        referenceaddress │                                       1 │
│                          balance_fdw_lp │                              references │                           referencecity │                                       1 │
│                          balance_fdw_lp │                              references │                      referencefirstname │                                       1 │
│                          balance_fdw_lp │                              references │                       referencelastname │                                       1 │
│                          balance_fdw_lp │                              references │                          referencestate │                                       1 │
│                          balance_fdw_lp │                           statement_csv │                           address_line1 │                                       1 │
│                          balance_fdw_lp │                           statement_csv │                           address_line2 │                                       1 │
│                          balance_fdw_lp │                           statement_csv │                           customer_name │                                       1 │
│                          balance_fdw_lp │                           statement_csv │                          statement_name │                                       1 │
│                      balance_lp_staging │                    address_entity_delta │                                address1 │                                       1 │
│                      balance_lp_staging │                    address_entity_delta │                                address2 │                                       1 │
│                      balance_lp_staging │                    address_entity_delta │                                    city │                                       1 │
│                      balance_lp_staging │                    address_entity_delta │                                 country │                                       1 │
│                      balance_lp_staging │                    address_entity_delta │                                   state │                                       1 │
│                      balance_lp_staging │                    address_entity_delta │                                 zipcode │                                       1 │
│                      balance_lp_staging │                         address_f_delta │                                address1 │                                       1 │
│                      balance_lp_staging │                         address_f_delta │                                address2 │                                       1 │
│                      balance_lp_staging │                         address_f_delta │                                    city │                                       1 │
│                      balance_lp_staging │                         address_f_delta │                                   state │                                       1 │
│                      balance_lp_staging │                         address_f_delta │                                 zipcode │                                       1 │
│                      balance_lp_staging │                           applcants_fix │                           address_line1 │                                       1 │
│                      balance_lp_staging │                           applcants_fix │                           address_line2 │                                       1 │
│                      balance_lp_staging │                           applcants_fix │                            bank_country │                                       1 │
│                      balance_lp_staging │                           applcants_fix │                               bank_name │                                       1 │
│                      balance_lp_staging │                           applcants_fix │                                    city │                                       1 │
│                      balance_lp_staging │                           applcants_fix │                                 country │                                       1 │
│                      balance_lp_staging │                           applcants_fix │                        driver_sid_state │                                       1 │
│                      balance_lp_staging │                           applcants_fix │                                   email │                                       1 │
│                      balance_lp_staging │                           applcants_fix │                           employer_name │                                       1 │
│                      balance_lp_staging │                           applcants_fix │                    employer_periodicity │                                       1 │
│                      balance_lp_staging │                           applcants_fix │                              first_name │                                       1 │
│                      balance_lp_staging │                           applcants_fix │                              ip_address │                                       1 │
│                      balance_lp_staging │                           applcants_fix │                               last_name │                                       1 │
│                      balance_lp_staging │                           applcants_fix │                  social_security_number │                                       1 │
